Year,Player,Rate,Tm
2021,Russell Wilson (32)\WilsRu00,125.3,SEA
2020,Aaron Rodgers (36)\RodgAa00,121.5,GNB
2019,Ryan Tannehill (31)\TannRy00,117.5,TEN
2018,Drew Brees (39)\BreeDr00,115.7,NOR
2017,Alex Smith (33)\SmitAl03,104.7,KAN
2016,Matt Ryan (31)\RyanMa00,117.1,ATL
2015,Russell Wilson (26)\WilsRu00,110.1,SEA
2014,Tony Romo (34)\RomoTo00,113.2,DAL
2013,Nick Foles  (24)\FoleNi00,119.2,PHI
2012,Aaron Rodgers (28)\RodgAa00,108.0,GNB
2011,Aaron Rodgers (27)\RodgAa00,122.5,GNB
2010,Tom Brady (33)\BradTo00,111.0,NWE
2009,Drew Brees (30)\BreeDr00,109.6,NOR
2008,Philip Rivers (26)\RivePh00,105.5,SDG
2007,Tom Brady (30)\BradTo00,117.2,NWE
2006,Peyton Manning+ (30)\MannPe00,101.0,IND
2005,Peyton Manning+ (29)\MannPe00,104.1,IND
2004,Peyton Manning+ (28)\MannPe00,121.1,IND
2003,Steve McNair (30)\McNaSt00,100.4,TEN
2002,Chad Pennington (26)\PennCh01,104.2,NYJ
2001,Kurt Warner+ (30)\WarnKu00,101.4,STL
2000,Brian Griese (25)\GrieBr00,102.9,DEN
1999,Kurt Warner+ (28)\WarnKu00,109.2,STL
1998,Randall Cunningham (35)\CunnRa00,106.0,MIN
1997,Steve Young+ (35)\YounSt00,104.7,SFO
1996,Steve Young+ (34)\YounSt00,97.2,SFO
1995,Jim Harbaugh (31)\HarbJi00,100.7,IND
1994,Steve Young+ (32)\YounSt00,112.8,SFO
1993,Steve Young+ (31)\YounSt00,101.5,SFO
1992,Steve Young+ (30)\YounSt00,107.0,SFO
1991,Steve Young+ (29)\YounSt00,101.8,SFO
1990,Jim Kelly+ (30)\KellJi00,101.2,BUF
1989,Joe Montana+ (33)\MontJo01,112.4,SFO
1988,Boomer Esiason (27)\EsiaBo00,97.4,CIN
1987,Joe Montana+ (31)\MontJo01,102.1,SFO
1986,Tommy Kramer (31)\KramTo00,92.6,MIN
1985,Ken O'Brien (24)\OBriKe00,96.2,NYJ
1984,Dan Marino+ (22)\MariDa00,108.9,MIA
1983,Steve Bartkowski (30)\BartSt00,97.6,ATL
1982,Ken Anderson (33)\AndeKe00,95.3,CIN
1981,Ken Anderson (32)\AndeKe00,98.4,CIN
1980,Brian Sipe (31)\SipeBr00,91.4,CLE
1979,Roger Staubach+ (37)\StauRo00,92.3,DAL
1978,Roger Staubach+ (36)\StauRo00,84.9,DAL
1977,Bob Griese+ (32)\GrieBo00,87.8,MIA
1976,Ken Stabler+ (30)\StabKe00,103.4,OAK
1975,Ken Anderson (26)\AndeKe00,93.9,CIN
1974,Ken Anderson (25)\AndeKe00,95.7,CIN
1973,Roger Staubach+ (31)\StauRo00,94.6,DAL
1972,Earl Morrall (38)\MorrEa00,91.0,MIA
1971,Roger Staubach+ (29)\StauRo00,104.8,DAL
1970,John Brodie (35)\BrodJo00,93.8,SFO
1969,Bart Starr+ (35)\StarBa00,89.9,GNB
1969,Greg Cook (22)\CookGr00,88.3,CIN
1968,Bart Starr+ (34)\StarBa00,104.3,GNB
1968,Len Dawson+ (33)\DawsLe00,98.6,KAN
1967,Sonny Jurgensen+ (33)\JurgSo00,87.3,WAS
1967,Len Dawson+ (32)\DawsLe00,83.7,KAN
1966,Bart Starr+ (32)\StarBa00,105.0,GNB
1966,Len Dawson+ (31)\DawsLe00,101.7,KAN
1965,Johnny Unitas+ (32)\UnitJo00,97.4,BAL
1965,Len Dawson+ (30)\DawsLe00,81.3,KAN
1964,Bart Starr+ (30)\StarBa00,97.1,GNB
1964,Len Dawson+ (29)\DawsLe00,89.9,KAN
1963,Y.A. Tittle+ (36)\TittY.00,104.8,NYG
1963,Tobin Rote (35)\RoteTo00,86.7,SDG
1962,Len Dawson+ (27)\DawsLe00,98.3,DTX
1962,Eddie LeBaron (32)\LeBaEd00,95.4,DAL
